m2_price,construction_year,surface,floor,no_rooms,district_Bemowo,district_Bielany,district_Mokotow,district_Ochota,district_Praga,district_Srodmiescie,district_Ursus,district_Ursynow,district_Wola,district_Zoliborz
5897,1953,25,3,1,False,False,False,False,False,True,False,False,False,False
1818,1992,143,9,5,False,True,False,False,False,False,False,False,False,False
3643,1937,56,1,2,False,False,False,False,True,False,False,False,False,False
3517,1995,93,7,3,False,False,False,True,False,False,False,False,False,False
3013,1992,144,6,5,False,False,True,False,False,False,False,False,False,False
5795,1926,61,6,2,False,False,False,False,False,True,False,False,False,False
2983,1970,127,8,5,False,False,True,False,False,False,False,False,False,False
2346,1985,105,8,4,False,False,False,False,False,False,True,False,False,False
4745,1928,145,6,6,False,False,False,False,False,True,False,False,False,False
4284,1949,112,9,4,False,False,False,False,False,True,False,False,False,False
3961,1940,74,5,2,False,False,False,False,False,False,False,False,False,True
2797,1971,75,7,3,False,True,False,False,False,False,False,False,False,False
5116,1934,53,1,3,False,False,False,False,False,False,False,False,False,True
3337,1985,111,6,5,False,False,False,False,False,False,False,False,False,True
3666,1948,58,9,3,False,False,False,True,False,False,False,False,False,False
2841,1975,116,2,4,False,False,False,False,False,False,False,False,True,False
3172,1986,53,6,2,False,False,False,False,False,False,False,False,True,False
3378,1983,37,6,1,True,False,False,False,False,False,False,False,False,False
3274,1992,33,7,2,False,False,False,False,False,False,True,False,False,False
5267,1935,33,2,2,False,False,True,False,False,False,False,False,False,False
5112,1929,39,3,2,False,False,False,True,False,False,False,False,False,False
2996,1980,95,3,3,False,False,False,False,False,False,False,True,False,False
5170,1995,148,2,5,False,False,False,False,False,True,False,False,False,False
3326,1972,42,6,1,False,False,False,False,False,False,False,True,False,False
4482,1963,27,5,1,False,False,False,True,False,False,False,False,False,False
3480,1990,142,1,6,False,False,False,True,False,False,False,False,False,False
3842,1933,81,2,3,True,False,False,False,False,False,False,False,False,False
3134,1994,112,8,5,False,False,True,False,False,False,False,False,False,False
2225,1956,97,10,4,False,False,False,False,False,False,False,False,True,False
